+------+-------+----------+
| code | month | commi    |
+------+-------+----------+
| UT   |     1 | 25468453 |
| KY   |     1 | 18116869 |
| TX   |     1 | 14149482 |
| CA   |     1 |  5974468 |
| FL   |     1 |  3558281 |
| TN   |     1 |  2705156 |
| GA   |     1 |  2335591 |
| IN   |     1 |  1989159 |
| AR   |     1 |  1440691 |
| OH   |     1 |  1405033 |
| MI   |     1 |  1368755 |
| KS   |     1 |  1359623 |
| OK   |     1 |  1327818 |
| MO   |     1 |  1242865 |
| WA   |     1 |  1150218 |
| AL   |     1 |   880205 |
| OR   |     1 |   777956 |
| VA   |     1 |   714555 |
| IL   |     1 |   657475 |
| SC   |     1 |   578761 |
| LA   |     1 |   563652 |
| NC   |     1 |   446470 |
| NJ   |     1 |   416974 |
| MD   |     1 |   380873 |
| NV   |     1 |   265523 |
| ID   |     1 |   257603 |
| NY   |     1 |   220759 |
| CO   |     1 |   213108 |
| WI   |     1 |   211069 |
| AZ   |     1 |   204337 |
| WY   |     1 |   204315 |
| MS   |     1 |   192414 |
| HI   |     1 |   147758 |
| WV   |     1 |   134260 |
| AP   |     1 |   126690 |
| MN   |     1 |   120587 |
| MT   |     1 |    85543 |
| IA   |     1 |    78379 |
| PA   |     1 |    62253 |
| NE   |     1 |    44936 |
| SD   |     1 |    31949 |
| MA   |     1 |    26633 |
| NM   |     1 |    25903 |
| DC   |     1 |    24343 |
| NH   |     1 |    15921 |
| ND   |     1 |    13241 |
| AK   |     1 |    11677 |
| ME   |     1 |     8952 |
| DE   |     1 |     8388 |
| CT   |     1 |     5603 |
| AE   |     1 |     1708 |
| VT   |     1 |      524 |
| AB   |     1 |      225 |
| UT   |     2 | 23179307 |
| KY   |     2 | 17365023 |
| TX   |     2 | 13574756 |
| CA   |     2 |  5597809 |
| FL   |     2 |  3534754 |
| TN   |     2 |  2618961 |
| GA   |     2 |  2387628 |
| IN   |     2 |  2025885 |
| AR   |     2 |  1420583 |
| MI   |     2 |  1399228 |
| OH   |     2 |  1343233 |
| KS   |     2 |  1301420 |
| OK   |     2 |  1271586 |
| MO   |     2 |  1176579 |
| AL   |     2 |   948888 |
| OR   |     2 |   907848 |
| VA   |     2 |   735307 |
| WA   |     2 |   671498 |
| IL   |     2 |   662905 |
| LA   |     2 |   600612 |
| SC   |     2 |   576780 |
| NC   |     2 |   473680 |
| MD   |     2 |   313652 |
| NV   |     2 |   313560 |
| NJ   |     2 |   290125 |
| ID   |     2 |   253299 |
| WY   |     2 |   232435 |
| CO   |     2 |   228204 |
| WI   |     2 |   217576 |
| NY   |     2 |   206302 |
| MS   |     2 |   203336 |
| AZ   |     2 |   197216 |
| AP   |     2 |   150064 |
| HI   |     2 |   143784 |
| WV   |     2 |   141296 |
| MN   |     2 |   111716 |
| MT   |     2 |    85381 |
| IA   |     2 |    75755 |
| PA   |     2 |    69461 |
| NE   |     2 |    42673 |
| MA   |     2 |    38261 |
| SD   |     2 |    33612 |
| NM   |     2 |    27024 |
| DE   |     2 |    23247 |
| DC   |     2 |    22491 |
| AK   |     2 |    16359 |
| NH   |     2 |    14245 |
| ND   |     2 |    11891 |
| ME   |     2 |     8023 |
| CT   |     2 |     5324 |
| AE   |     2 |     2410 |
| VT   |     2 |      480 |
| UT   |     3 | 30114554 |
| KY   |     3 | 21973863 |
| TX   |     3 | 16528144 |
| CA   |     3 |  7608748 |
| FL   |     3 |  4484784 |
| TN   |     3 |  3292504 |
| GA   |     3 |  2924474 |
| IN   |     3 |  2445452 |
| MI   |     3 |  1754977 |
| OH   |     3 |  1703008 |
| AR   |     3 |  1653694 |
| OK   |     3 |  1573599 |
| KS   |     3 |  1551234 |
| MO   |     3 |  1499184 |
| OR   |     3 |  1359605 |
| AL   |     3 |  1178099 |
| WA   |     3 |   918180 |
| VA   |     3 |   898514 |
| IL   |     3 |   861208 |
| SC   |     3 |   701332 |
| LA   |     3 |   667821 |
| NC   |     3 |   570303 |
| NV   |     3 |   386953 |
| MD   |     3 |   344558 |
| ID   |     3 |   335895 |
| CO   |     3 |   334498 |
| NJ   |     3 |   317652 |
| WI   |     3 |   282806 |
| WY   |     3 |   277135 |
| MS   |     3 |   269008 |
| NY   |     3 |   258399 |
| AZ   |     3 |   235719 |
| AP   |     3 |   228677 |
| WV   |     3 |   177272 |
| HI   |     3 |   168533 |
| MN   |     3 |   140001 |
| MT   |     3 |   108769 |
| PA   |     3 |   100255 |
| IA   |     3 |    93189 |
| MA   |     3 |    63573 |
| NE   |     3 |    59054 |
| AK   |     3 |    50450 |
| SD   |     3 |    45614 |
| DE   |     3 |    32915 |
| NM   |     3 |    30627 |
| DC   |     3 |    22046 |
| NH   |     3 |    18064 |
| ND   |     3 |    14249 |
| ME   |     3 |     9350 |
| CT   |     3 |     5981 |
| AE   |     3 |     2418 |
| VT   |     3 |      696 |
| UT   |     4 | 23470251 |
| KY   |     4 | 18376244 |
| TX   |     4 | 13972813 |
| CA   |     4 |  5896800 |
| FL   |     4 |  3808087 |
| TN   |     4 |  2675837 |
| GA   |     4 |  2415933 |
| IN   |     4 |  2082955 |
| MI   |     4 |  1601534 |
| OH   |     4 |  1436533 |
| OK   |     4 |  1293040 |
| AR   |     4 |  1235422 |
| KS   |     4 |  1197869 |
| MO   |     4 |  1177259 |
| OR   |     4 |  1082314 |
| WA   |     4 |   896411 |
| AL   |     4 |   882187 |
| VA   |     4 |   779726 |
| IL   |     4 |   766216 |
| SC   |     4 |   587486 |
| NC   |     4 |   500099 |
| LA   |     4 |   469401 |
| CO   |     4 |   409105 |
| NV   |     4 |   352842 |
| MD   |     4 |   311380 |
| NJ   |     4 |   307221 |
| ID   |     4 |   273993 |
| AZ   |     4 |   260039 |
| WI   |     4 |   253434 |
| NY   |     4 |   248866 |
| AP   |     4 |   227894 |
| WY   |     4 |   210580 |
| MS   |     4 |   186534 |
| WV   |     4 |   151063 |
| HI   |     4 |   144144 |
| MN   |     4 |   125497 |
| MT   |     4 |    92037 |
| PA   |     4 |    78281 |
| AK   |     4 |    76222 |
| IA   |     4 |    76118 |
| MA   |     4 |    67627 |
| NE   |     4 |    39723 |
| DE   |     4 |    36149 |
| SD   |     4 |    31037 |
| NM   |     4 |    25172 |
| DC   |     4 |    20545 |
| ND   |     4 |    14689 |
| NH   |     4 |    12622 |
| ME   |     4 |    10356 |
| CT   |     4 |     4840 |
| AE   |     4 |     2555 |
| VT   |     4 |      450 |
| AB   |     4 |      375 |
| UT   |     5 | 31128636 |
| KY   |     5 | 20565362 |
| TX   |     5 | 16911143 |
| CA   |     5 |  8246657 |
| FL   |     5 |  4365651 |
| TN   |     5 |  2755338 |
| GA   |     5 |  2623512 |
| IN   |     5 |  2252087 |
| MI   |     5 |  2002910 |
| OR   |     5 |  1871833 |
| OH   |     5 |  1750658 |
| AR   |     5 |  1468009 |
| KS   |     5 |  1407177 |
| OK   |     5 |  1403708 |
| MO   |     5 |  1326756 |
| WA   |     5 |  1034620 |
| AL   |     5 |   944428 |
| VA   |     5 |   898819 |
| IL   |     5 |   796825 |
| SC   |     5 |   694048 |
| NV   |     5 |   599591 |
| LA   |     5 |   578005 |
| NC   |     5 |   509834 |
| CO   |     5 |   443318 |
| ID   |     5 |   356595 |
| WI   |     5 |   342370 |
| MD   |     5 |   314875 |
| NJ   |     5 |   308163 |
| AP   |     5 |   298722 |
| NY   |     5 |   265292 |
| AZ   |     5 |   248574 |
| WY   |     5 |   198976 |
| MS   |     5 |   196417 |
| MN   |     5 |   171124 |
| WV   |     5 |   170879 |
| HI   |     5 |   166514 |
| MA   |     5 |   157823 |
| AK   |     5 |   126575 |
| DE   |     5 |   111002 |
| MT   |     5 |    86497 |
| PA   |     5 |    84453 |
| IA   |     5 |    75607 |
| NE   |     5 |    45827 |
| NM   |     5 |    32786 |
| SD   |     5 |    32242 |
| DC   |     5 |    15520 |
| ME   |     5 |    13662 |
| NH   |     5 |    13512 |
| ND   |     5 |    13323 |
| CT   |     5 |     5236 |
| AE   |     5 |     3030 |
| VT   |     5 |      396 |
| AB   |     5 |       75 |
| UT   |     6 |  6850641 |
| KY   |     6 |  4487098 |
| TX   |     6 |  3625570 |
| CA   |     6 |  1922247 |
| FL   |     6 |   937498 |
| TN   |     6 |   639134 |
| GA   |     6 |   592269 |
| IN   |     6 |   513985 |
| OR   |     6 |   486309 |
| MI   |     6 |   411988 |
| OH   |     6 |   376673 |
| AR   |     6 |   310081 |
| OK   |     6 |   306389 |
| MO   |     6 |   291698 |
| KS   |     6 |   267567 |
| AL   |     6 |   196147 |
| WA   |     6 |   180961 |
| IL   |     6 |   177335 |
| VA   |     6 |   160367 |
| LA   |     6 |   151979 |
| SC   |     6 |   144795 |
| NV   |     6 |   121169 |
| NC   |     6 |   108765 |
| CO   |     6 |    98473 |
| ID   |     6 |    72125 |
| WI   |     6 |    71792 |
| MD   |     6 |    59755 |
| NJ   |     6 |    53557 |
| AZ   |     6 |    53121 |
| NY   |     6 |    47823 |
| WY   |     6 |    44731 |
| MS   |     6 |    42719 |
| AP   |     6 |    39182 |
| MN   |     6 |    37393 |
| WV   |     6 |    36456 |
| HI   |     6 |    32210 |
| MA   |     6 |    23884 |
